,movie_name,released_year,rating,genre,duration,metascore,votes,certificate
63, WandaVision,2021,8.9,"
Action, Comedy, Drama            ",35 min,not available,"20,330",TV-PG
64, WandaVision,2021,7.8,"
Action, Comedy, Drama            ",37 min,not available,"20,239",TV-PG
65,In the Heights,2021,7.6,"
Drama, Music, Musical            ",143 min,84        ,"20,027",PG-13
66, WandaVision,2021,9.1,"
Action, Comedy, Drama            ",42 min,not available,"19,973",TV-14
67,Space Sweepers,2021,6.6,"
Action, Adventure, Drama            ",136 min,64        ,"19,697",TV-MA
68,Moxie,2021,6.7,"
Comedy, Drama, Music            ",111 min,54        ,"19,540",PG-13
69,Night Stalker: The Hunt for a Serial Killer,2021,7.5,"
Documentary, Crime, Mystery            ",189 min,not available,"19,328",TV-MA
70,Bad Trip,2021,6.6,"
Comedy            ",86 min,61        ,"19,000",R
71, WandaVision,2021,8.2,"
Action, Comedy, Drama            ",33 min,not available,"18,655",TV-PG
72,To All the Boys: Always and Forever,2021,6.3,"
Comedy, Drama, Romance            ",109 min,65        ,"18,055",TV-14
73,Yes Day,2021,5.7,"
Comedy, Family            ",86 min,46        ,"18,049",PG
74, WandaVision,2021,9.0,"
Action, Comedy, Drama            ",47 min,not available,"17,875",TV-PG
75, Loki,2021– ,8.8,"
Action, Adventure, Fantasy            ",51 min,not available,"17,791",TV-14
76, WandaVision,2021,8.4,"
Action, Comedy, Drama            ",50 min,not available,"17,758",TV-PG
77,The Innocent,2021,7.9,"
Crime, Drama, Mystery            ",467 min,not available,"17,492",TV-MA
78,Wrong Turn,2021,5.5,"
Horror, Thriller            ",109 min,46        ,"17,377",R
79, WandaVision,2021,8.9,"
Action, Comedy, Drama            ",38 min,not available,"17,361",TV-PG
80,F9: The Fast Saga,2021,5.5,"
Action, Adventure, Crime            ",145 min,59        ,"17,332",PG-13
81, Attack on Titan,2013–2021,9.3,"
Animation, Action, Adventure            ",24 min,not available,"16,784",TV-MA
82, WandaVision,2021,8.5,"
Action, Comedy, Drama            ",38 min,not available,"16,207",TV-PG
83,Firefly Lane,2021– ,7.5,"
Drama, Romance            ",not available,not available,"15,979",TV-MA
84,Below Zero,2021,6.2,"
Action, Adventure, Crime            ",106 min,not available,"15,504",TV-MA
85,Karnan,2021,8.3,"
Action, Drama            ",158 min,not available,"15,342",not available
86, The Falcon and the Winter Soldier,2021,7.7,"
Action, Adventure, Drama            ",47 min,not available,"15,107",TV-14
87,The Marksman,2021,5.6,"
Action, Drama, Thriller            ",108 min,44        ,"15,063",PG-13
88,Superman and Lois,2021– ,7.9,"
Action, Adventure, Drama            ",42 min,not available,"14,973",TV-14
89,Willy's Wonderland,2021,5.6,"
Action, Comedy, Horror            ",88 min,44        ,"14,697",TV-MA
90,Crime Scene: The Vanishing at the Cecil Hotel,2021,5.9,"
Documentary, Crime, Mystery            ",219 min,not available,"14,668",TV-MA
91,The Map of Tiny Perfect Things,2021,6.8,"
Comedy, Fantasy, Romance            ",98 min,61        ,"14,431",PG-13
92,The Nevers,2021– ,7.4,"
Action, Drama, Fantasy            ",58 min,not available,"14,199",TV-MA
93,Infinite,2021,5.3,"
Action, Sci-Fi, Thriller            ",106 min,28        ,"14,144",PG-13
94, Attack on Titan,2013–2021,9.7,"
Animation, Action, Adventure            ",24 min,not available,"13,943",TV-MA
95, Loki,2021– ,9.0,"
Action, Adventure, Fantasy            ",53 min,not available,"13,776",TV-14
96, The Falcon and the Winter Soldier,2021,8.8,"
Action, Adventure, Drama            ",53 min,not available,"13,653",TV-14
97,Bliss,I 2021,5.3,"
Drama, Romance, Sci-Fi            ",103 min,40        ,"13,604",R
98,Them,2021– ,7.3,"
Drama, Horror, Thriller            ",45 min,not available,"13,357",TV-MA
99, The Falcon and the Winter Soldier,2021,7.9,"
Action, Adventure, Drama            ",47 min,not available,"13,048",TV-14
